sku,name,brand,price,currency,category,url,url_se
625805,PX-S7000 WE Deluxe Bundle,Casio,24190,SEK,TA,https://www.thomann.se/casio_px_s7000_we_deluxe_bundle.htm,https://www.thomann.se/casio_px_s7000_we_deluxe_bundle.htm
436927,SP-20 Sustain Pedal,Casio,535,SEK,TA,https://www.thomann.se/casio_sp_20_sustain_pedal.htm,https://www.thomann.se/casio_sp_20_sustain_pedal.htm
528392,PX-S1100 RD Set,Casio,5799,SEK,TA,https://www.thomann.se/casio_px_s1100_rd_set.htm,https://www.thomann.se/casio_px_s1100_rd_set.htm
473436,CT-S300 Set,Casio,2180,SEK,TA,https://www.thomann.se/casio_ct_s300_set.htm,https://www.thomann.se/casio_ct_s300_set.htm
624293,PX-S1100MB,Casio,5333,SEK,TA,https://www.thomann.se/casio_px_s1100mb.htm,https://www.thomann.se/casio_px_s1100mb.htm
535651,CDP-S160 RD,Casio,5799,SEK,TA,https://www.thomann.se/casio_cdp_s160_rd.htm,https://www.thomann.se/casio_cdp_s160_rd.htm
470729,LK-S250 Set,Casio,2499,SEK,TA,https://www.thomann.se/casio_lk_s250_set.htm,https://www.thomann.se/casio_lk_s250_set.htm
473429,CT-S200 BK Set,Casio,1733,SEK,TA,https://www.thomann.se/casio_ct_s200_bk_set.htm,https://www.thomann.se/casio_ct_s200_bk_set.htm
528389,PX-S1100 BK Set,Casio,5699,SEK,TA,https://www.thomann.se/casio_px_s1100_bk_set.htm,https://www.thomann.se/casio_px_s1100_bk_set.htm
528400,PX-S1100 RD Softcase Bundle,Casio,5990,SEK,TA,https://www.thomann.se/casio_px_s1100_rd_softcase_bundle.htm,https://www.thomann.se/casio_px_s1100_rd_softcase_bundle.htm
625985,AP-S450 GB,Casio,14990,SEK,TA,https://www.thomann.se/casio_ap_s450_gb.htm,https://www.thomann.se/casio_ap_s450_gb.htm
625804,PX-S7000 BK Deluxe Bundle,Casio,24190,SEK,TA,https://www.thomann.se/casio_px_s7000_bk_deluxe_bundle.htm,https://www.thomann.se/casio_px_s7000_bk_deluxe_bundle.htm
625982,AP-750 GB,Casio,21190,SEK,TA,https://www.thomann.se/casio_ap_750_gb.htm,https://www.thomann.se/casio_ap_750_gb.htm
552278,SC-900P,Casio,1148,SEK,TA,https://www.thomann.se/casio_sc_900p.htm,https://www.thomann.se/casio_sc_900p.htm
602203,CB-30 BK,Casio,1585,SEK,TA,https://www.thomann.se/casio_cb_30_bk.htm,https://www.thomann.se/casio_cb_30_bk.htm
470726,LK-S250,Casio,2175,SEK,TA,https://www.thomann.se/casio_lk_s250.htm,https://www.thomann.se/casio_lk_s250.htm
434202,CT-X3000,Casio,3399,SEK,TA,https://www.thomann.se/casio_ct_x3000.htm,https://www.thomann.se/casio_ct_x3000.htm
585058,AP-S450BN,Casio,14390,SEK,TA,https://www.thomann.se/casio_ap_s450bn.htm,https://www.thomann.se/casio_ap_s450bn.htm
528401,PX-S3100 BK Deluxe Bundle,Casio,10790,SEK,TA,https://www.thomann.se/casio_px_s3100_bk_deluxe_bundle.htm,https://www.thomann.se/casio_px_s3100_bk_deluxe_bundle.htm
462830,SP-3 Sustain Pedal,Casio,240,SEK,TA,https://www.thomann.se/casio_sp_3_sustain_pedal.htm,https://www.thomann.se/casio_sp_3_sustain_pedal.htm
420271,PX-770 WE Privia Set,Casio,9199,SEK,TA,https://www.thomann.se/casio_px_770_we_privia_set.htm,https://www.thomann.se/casio_px_770_we_privia_set.htm
517403,CT-S1BK Set,Casio,2645,SEK,TA,https://www.thomann.se/casio_ct_s1bk_set.htm,https://www.thomann.se/casio_ct_s1bk_set.htm
517405,CT-S1WE Set,Casio,2545,SEK,TA,https://www.thomann.se/casio_ct_s1we_set.htm,https://www.thomann.se/casio_ct_s1we_set.htm
585047,AP-550 BN,Casio,16190,SEK,TA,https://www.thomann.se/casio_ap_550_bn.htm,https://www.thomann.se/casio_ap_550_bn.htm
591091,PX-S6000 Bundle,Casio,14990,SEK,TA,https://www.thomann.se/casio_px_s6000_bundle.htm,https://www.thomann.se/casio_px_s6000_bundle.htm
517399,LK-S450 Set,Casio,3190,SEK,TA,https://www.thomann.se/casio_lk_s450_set.htm,https://www.thomann.se/casio_lk_s450_set.htm
535697,CDP-S160 BK Deluxe Bundle,Casio,6990,SEK,TA,https://www.thomann.se/casio_cdp_s160_bk_deluxe_bundle.htm,https://www.thomann.se/casio_cdp_s160_bk_deluxe_bundle.htm
420269,PX-770 BK Privia Set,Casio,8999,SEK,TA,https://www.thomann.se/casio_px_770_bk_privia_set.htm,https://www.thomann.se/casio_px_770_bk_privia_set.htm
420267,PX-870 BK Privia Set,Casio,10890,SEK,TA,https://www.thomann.se/casio_px_870_bk_privia_set.htm,https://www.thomann.se/casio_px_870_bk_privia_set.htm
478981,CT-S Keyboard Bag,Casio,1050,SEK,TA,https://www.thomann.se/casio_ct_s_keyboard_bag.htm,https://www.thomann.se/casio_ct_s_keyboard_bag.htm
585057,AP-S450BK,Casio,13990,SEK,TA,https://www.thomann.se/casio_ap_s450bk.htm,https://www.thomann.se/casio_ap_s450bk.htm
420272,AP-270 BK Celviano Set,Casio,9333,SEK,TA,https://www.thomann.se/casio_ap_270_bk_celviano_set.htm,https://www.thomann.se/casio_ap_270_bk_celviano_set.htm
